2026-05-11 16:45:52 startup archives install
2026-05-11 16:45:52 install base-passwd:arm64 <none> 3.6.7
2026-05-11 16:45:52 status half-installed base-passwd:arm64 3.6.7
2026-05-11 16:45:53 status unpacked base-passwd:arm64 3.6.7
2026-05-11 16:45:53 configure base-passwd:arm64 3.6.7 3.6.7
2026-05-11 16:45:53 status half-configured base-passwd:arm64 3.6.7
2026-05-11 16:45:54 status installed base-passwd:arm64 3.6.7
2026-05-11 16:45:54 startup archives install
2026-05-11 16:45:54 install base-files:arm64 <none> 13.8+deb13u4
2026-05-11 16:45:54 status half-installed base-files:arm64 13.8+deb13u4
2026-05-11 16:45:55 status unpacked base-files:arm64 13.8+deb13u4
2026-05-11 16:45:55 configure base-files:arm64 13.8+deb13u4 13.8+deb13u4
2026-05-11 16:45:55 status half-configured base-files:arm64 13.8+deb13u4
2026-05-11 16:45:56 status installed base-files:arm64 13.8+deb13u4
2026-05-11 16:45:56 startup archives install
2026-05-11 16:45:56 upgrade dpkg 1.22.22 1.22.22
2026-05-11 16:45:56 status half-configured dpkg 1.22.22
2026-05-11 16:45:56 status unpacked dpkg 1.22.22
2026-05-11 16:45:56 status half-installed dpkg 1.22.22
2026-05-11 16:45:58 status unpacked dpkg:arm64 1.22.22
2026-05-11 16:45:58 configure dpkg:arm64 1.22.22 1.22.22
2026-05-11 16:45:58 status half-configured dpkg:arm64 1.22.22
2026-05-11 16:45:59 status installed dpkg:arm64 1.22.22
2026-05-11 16:46:00 startup archives install
2026-05-11 16:46:00 install libc6:arm64 <none> 2.41-12+deb13u2
2026-05-11 16:46:00 status half-installed libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:03 status unpacked libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:04 configure libc6:arm64 2.41-12+deb13u2 2.41-12+deb13u2
2026-05-11 16:46:04 status half-configured libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:04 status installed libc6:arm64 2.41-12+deb13u2
2026-05-11 16:46:05 startup archives install
2026-05-11 16:46:05 install perl-base:arm64 <none> 5.40.1-6
2026-05-11 16:46:05 status half-installed perl-base:arm64 5.40.1-6
2026-05-11 16:46:11 status unpacked perl-base:arm64 5.40.1-6
2026-05-11 16:46:13 configure perl-base:arm64 5.40.1-6 5.40.1-6
2026-05-11 16:46:13 status half-configured perl-base:arm64 5.40.1-6
2026-05-11 16:46:13 status installed perl-base:arm64 5.40.1-6
2026-05-11 16:46:13 startup archives install
2026-05-11 16:46:13 install mawk:arm64 <none> 1.3.4.20250131-1
2026-05-11 16:46:13 status half-installed mawk:arm64 1.3.4.20250131-1
2026-05-11 16:46:14 status unpacked mawk:arm64 1.3.4.20250131-1
2026-05-11 16:46:14 configure mawk:arm64 1.3.4.20250131-1 1.3.4.20250131-1
2026-05-11 16:46:14 status half-configured mawk:arm64 1.3.4.20250131-1
2026-05-11 16:46:14 status installed mawk:arm64 1.3.4.20250131-1
2026-05-11 16:46:14 startup archives unpack
2026-05-11 16:46:14 install apt:arm64 <none> 3.0.3
2026-05-11 16:46:14 status half-installed apt:arm64 3.0.3
